Code,Company Name
AALI,Astra Agro Lestari 
ABBA,Mahaka Media 
ABDA,Asuransi Bina Dana Arta 
ABMM,ABM Investama 
ACES,Aspirasi Hidup Indonesia 
ACST,Acset Indonusa 
ADES,Akasha Wira International 
ADHI,Adhi Karya (Persero) 
ADMF,Adira Dinamika Multi Finance T
ADMG,Polychem Indonesia 
ADRO,Alamtri Resources Indonesia
AGII,Samator Indo Gas 
AGRO,Bank Raya Indonesia 
AGRS,Bank IBK Indonesia 
AHAP,Asuransi Harta Aman Pratama
AIMS,Artha Mahiya Investama 
AISA,FKS Food Sejahtera 
AKKU,Anugerah Kagum Karya Utama 
AKPI,Argha Karya Prima Industry 
AKRA,AKR Corporindo 
AKSI,Mineral Sumberdaya Mandiri 
ALDO,Alkindo Naratama 
ALKA,Alakasa Industrindo 
ALMI,Alumindo Light Metal Industry 
ALTO,Tri Banyan Tirta 
AMAG,Asuransi Multi Artha Guna 
AMFG,Asahimas Flat Glass 
AMIN,Ateliers Mecaniques D Indonesi
AMRT,Sumber Alfaria Trijaya 
ANJT,Austindo Nusantara Jaya 
ANTM,Aneka Tambang 
APEX,Apexindo Pratama Duta 
APIC,Pacific Strategic Financial
APII,Arita Prima Indonesia 
APLI,Asiaplast Industries 
APLN,Agung Podomoro Land 
ARGO,Argo Pantes 
ARII,Atlas Resources 
ARNA,Arwana Citramulia 
ARTA,Arthavest 
ARTI,Ratu Prabu Energi 
ARTO,Bank Jago 
ASBI,Asuransi Bintang 
ASDM,Asuransi Dayin Mitra 
ASGR,Astra Graphia 
ASII,Astra International 
ASJT,Asuransi Jasa Tania 
ASMI,Asuransi Maximus Graha Persada
ASRI,Alam Sutera Realty 
ASRM,Asuransi Ramayana 
ASSA,Adi Sarana Armada 
ATIC,Anabatic Technologies 
AUTO,Astra Otoparts 
BABP,Bank MNC Internasional 
BACA,Bank Capital Indonesia 
BAJA,Saranacentral Bajatama 
BALI,Bali Towerindo Sentra 
BAPA,Bekasi Asri Pemula 
BATA,Sepatu Bata 
BAYU,Bayu Buana 
BBCA,Bank Central Asia 
BBHI,Allo Bank Indonesia 
BBKP,Bank KB Bukopin 
BCAP,MNC Kapital Indonesia 
BCIC,Bank JTrust Indonesia 
BCIP,Bumi Citra Permai 
BDMN,Bank Danamon Indonesia 
BEKS,Bank Pembangunan Daerah Banten
BEST,Bekasi Fajar Industrial Estate
BFIN,BFI Finance  Indonesia 
BGTG,Bank Ganesha 
BHIT,MNC Asia Holding 
BIKA,Binakarya Jaya Abadi 
BIMA,Primarindo Asia Infrastructure
BINA,Bank Ina Perdana 
BIPI,Astrindo Nusantara Infrastrukt
BIPP,Bhuwanatala Indah Permai 
BIRD,Blue Bird 
BISI,BISI International 
BJBR,Bank Pembangunan Daerah Jawa B
BJTM,Bank Pembangunan Daerah Jawa T
BKDP,Bukit Darmo Property 
BKSL,Sentul City 
BKSW,Bank QNB Indonesia 
BLTA,Berlian Laju Tanker 
BLTZ,Graha Layar Prima 
BMAS,Bank Maspion Indonesia 
BMRI,Bank Mandiri (Persero) 
BMSR,Bintang Mitra Semestaraya 
BMTR,Global Mediacom 
BNBA,Bank Bumi Arta 
BNBR,Bakrie & Brothers 
BNGA,Bank CIMB Niaga 
BNII,Bank Maybank Indonesia 
BNLI,Bank Permata 
BOLT,Garuda Metalindo 
BPFI,Woori Finance Indonesia 
BPII,Batavia Prosperindo Internasio
BRAM,Indo Kordsa 
BRMS,Bumi Resources Minerals 
BRNA,Berlina 
BRPT,Barito Pacific 
BSDE,Bumi Serpong Damai 
BSIM,Bank Sinarmas 
BSSR,Baramulti Suksessarana 
BSWD,Bank Of India Indonesia 
BTEK,Bumi Teknokultura Unggul 
BTEL,Bakrie Telecom 
BTON,Betonjaya Manunggal 
BTPN,Bank SMBC Indonesia 
BUDI,Budi Starch & Sweetener 
BUKK,Bukaka Teknik Utama 
BULL,Buana Lintas Lautan 
BUMI,Bumi Resources 
BUVA,Bukit Uluwatu Villa 
BVIC,Bank Victoria International
BWPT,Eagle High Plantations 
BYAN,Bayan Resources 
CANI,Capitol Nusantara Indonesia
CASS,Cahaya Aero Services 
CEKA,Wilmar Cahaya Indonesia 
CENT,Centratama Telekomunikasi Indo
CFIN,Clipan Finance Indonesia 
CINT,Chitose Internasional 
CITA,Cita Mineral Investindo 
CLPI,Colorpak Indonesia 
CMNP,Citra Marga Nusaphala Persada 
CMPP,AirAsia Indonesia 
CNKO,Exploitasi Energi Indonesia
CNTX,Century Textile Industry 
COWL,Cowell Development 
CPIN,Charoen Pokphand Indonesia 
CPRO,Central Proteina Prima 
CSAP,Catur Sentosa Adiprana 
CTBN,Citra Tubindo 
CTRA,Ciputra Development 
CTTH,Citatah 
DART,Duta Anggada Realty 
DEFI,Danasupra Erapacific 
DEWA,Darma Henwa 
DGIK,Nusa Konstruksi Enjiniring 
DILD,Intiland Development 
DKFT,Central Omega Resources 
DLTA,Delta Djakarta 
DMAS,Puradelta Lestari 
DNAR,Bank Oke Indonesia 
DNET,Indoritel Makmur Internasional
DOID,BUMA Internasional Grup 
DPNS,Duta Pertiwi Nusantara 
DSFI,Dharma Samudera Fishing Indust
DSNG,Dharma Satya Nusantara 
DSSA,Dian Swastatika Sentosa 
DUTI,Duta Pertiwi 
DVLA,Darya-Varia Laboratoria 
DYAN,Dyandra Media International
ECII,Electronic City Indonesia 
EKAD,Ekadharma International 
ELSA,Elnusa 
ELTY,Bakrieland Development 
EMDE,Megapolitan Developments 
EMTK,Elang Mahkota Teknologi 
ENRG,Energi Mega Persada 
EPMT,Enseval Putera Megatrading 
ERAA,Erajaya Swasembada 
ERTX,Eratex Djaja 
ESSA,ESSA Industries Indonesia 
ESTI,Ever Shine Tex 
ETWA,Eterindo Wahanatama 
EXCL,XLSMART Telecom Sejahtera 
FAST,Fast Food Indonesia 
FASW,Fajar Surya Wisesa 
FISH,FKS Multi Agro 
FMII,Fortune Mate Indonesia 
FORU,Fortune Indonesia 
FPNI,Lotte Chemical Titan 
GAMA,Aksara Global Development 
GDST,Gunawan Dianjaya Steel 
GDYR,Goodyear Indonesia 
GEMA,Gema Grahasarana 
GEMS,Golden Energy Mines 
GGRM,Gudang Garam 
GIAA,Garuda Indonesia (Persero) 
GJTL,Gajah Tunggal 
GLOB,Globe Kita Terang 
GMTD,Gowa Makassar Tourism Developm
GOLD,Visi Telekomunikasi Infrastruk
GOLL,Golden Plantation 
GPRA,Perdana Gapuraprima 
GSMF,Equity Development Investment 
GTBO,Garda Tujuh Buana 
GWSA,Greenwood Sejahtera 
GZCO,Gozco Plantations 
HADE,Himalaya Energi Perkasa 
HDFA,Radana Bhaskara Finance 
HDTX,Panasia Indo Resources 
HERO,DFI Retail Nusantara 
HEXA,Hexindo Adiperkasa 
HITS,Humpuss Intermoda Transportasi
HMSP,H.M. Sampoerna 
HOME,Hotel Mandarine Regency 
HOTL,Saraswati Griya Lestari 
HRUM,Harum Energy 
IATA,MNC Energy Investments 
IBFN,Intan Baru Prana 
IBST,Inti Bangun Sejahtera 
ICBP,Indofood CBP Sukses Makmur 
ICON,Island Concepts Indonesia 
IGAR,Champion Pacific Indonesia 
IIKP,Inti Agri Resources 
IKAI,Intikeramik Alamasri Industri 
IKBI,Sumi Indo Kabel 
IMAS,Indomobil Sukses Internasional
IMJS,Indomobil Multi Jasa 
IMPC,Impack Pratama Industri 
INAF,Indofarma 
INAI,Indal Aluminium Industry 
INCI,Intanwijaya Internasional 
INCO,Vale Indonesia 
INDF,Indofood Sukses Makmur 
INDR,Indo-Rama Synthetics 
INDS,Indospring 
INDX,Tanah Laut 
INDY,Indika Energy 
INKP,Indah Kiat Pulp & Paper 
INPC,Bank Artha Graha Internasional
INPP,Indonesian Paradise Property T
INRU,Toba Pulp Lestari 
INTA,Intraco Penta 
INTD,Inter Delta 
INTP,Indocement Tunggal Prakarsa
IPOL,Indopoly Swakarsa Industry 
ISAT,Indosat 
ISSP,Steel Pipe Industry of Indones
ITMA,Sumber Energi Andalan 
ITMG,Indo Tambangraya Megah 
JAWA,Jaya Agra Wattie 
JECC,Jembo Cable Company 
JIHD,Jakarta International Hotels &
JKON,Jaya Konstruksi Manggala Prata
JKSW,Jakarta Kyoei Steel Works 
JPFA,Japfa Comfeed Indonesia 
JRPT,Jaya Real Property 
JSMR,Jasa Marga (Persero) 
JSPT,Jakarta Setiabudi Internasiona
JTPE,Jasuindo Tiga Perkasa 
KAEF,Kimia Farma 
KARW,Meratus Jasa Prima 
KBLI,KMI Wire & Cable 
KBLM,Kabelindo Murni 
KBLV,First Media 
KBRI,Kertas Basuki Rachmat Indonesi
KDSI,Kedawung Setia Industrial 
KIAS,Keramika Indonesia Assosiasi T
KICI,Kedaung Indah Can 
KIJA,Kawasan Industri Jababeka 
KKGI,Resource Alam Indonesia 
KLBF,Kalbe Farma 
KOBX,Kobexindo Tractors 
KOIN,Kokoh Inti Arebama 
KONI,Perdana Bangun Pusaka 
KOPI,Mitra Energi Persada 
KPIG,MNC Land 
KRAH,Grand Kartech 
KRAS,Krakatau Steel (Persero) 
KREN,Quantum Clovera Investama 
LAPD,Leyand International 
LCGP,Eureka Prima Jakarta 
LEAD,Logindo Samudramakmur 
LINK,Link Net 
LION,Lion Metal Works 
LMAS,Limas Indonesia Makmur 
LMPI,Langgeng Makmur Industri 
LMSH,Lionmesh Prima 
LPCK,Lippo Cikarang 
LPGI,Lippo General Insurance 
LPIN,Multi Prima Sejahtera 
LPKR,Lippo Karawaci 
LPLI,Star Pacific 
LPPF,Matahari Department Store 
LPPS,Lenox Pasifik Investama 
LRNA,Eka Sari Lorena Transport 
LSIP,PP London Sumatra Indonesia
LTLS,Lautan Luas 
MAGP,Multi Agro Gemilang Plantation
MAIN,Malindo Feedmill 
MAMI,Mas Murni Indonesia 
MAPI,Mitra Adiperkasa 
MASA,Multistrada Arah Sarana 
MAYA,Bank Mayapada Internasional
MBAP,Mitrabara Adiperdana 
MBSS,Mitrabahtera Segara Sejati 
MBTO,Martina Berto 
MCOR,Bank China Construction Bank I
MDIA,Intermedia Capital 
MDKA,Merdeka Copper Gold 
MDLN,Modernland Realty 
MDRN,Modern Internasional 
MEDC,Medco Energi Internasional 
MEGA,Bank Mega 
MERK,Merck 
META,Nusantara Infrastructure 
MFIN,Mandala Multifinance 
MFMI,Multifiling Mitra Indonesia
MGNA,Magna Investama Mandiri 
MICE,Multi Indocitra 
MIDI,Midi Utama Indonesia 
MIKA,Mitra Keluarga Karyasehat 
MIRA,Mitra International Resources 
MITI,Mitra Investindo 
MKPI,Metropolitan Kentjana 
MLBI,Multi Bintang Indonesia 
MLIA,Mulia Industrindo 
MLPL,Multipolar 
MLPT,Multipolar Technology 
MMLP,Mega Manunggal Property 
MNCN,Media Nusantara Citra 
MPMX,Mitra Pinasthika Mustika 
MPPA,Matahari Putra Prima 
MRAT,Mustika Ratu 
MREI,Maskapai Reasuransi Indonesia 
MSKY,MNC Sky Vision 
MTDL,Metrodata Electronics 
MTFN,Capitalinc Investment 
MTLA,Metropolitan Land 
MTSM,Metro Realty 
MYOH,Samindo Resources 
MYOR,Mayora Indah 
MYRX,Hanson International 
MYTX,Asia Pacific Investama 
NELY,Pelayaran Nelly Dwi Putri 
NIKL,Pelat Timah Nusantara 
NIPS,Nipress 
NIRO,City Retail Developments 
NISP,Bank OCBC NISP 
NOBU,Bank Nationalnobu 
NRCA,Nusa Raya Cipta 
OCAP,Onix Capital 
OKAS,Ancora Indonesia Resources 
OMRE,Indonesia Prima Property 
PADI,Minna Padi Investama Sekuritas
PALM,Provident Investasi Bersama
PANR,Panorama Sentrawisata 
PANS,Panin Sekuritas 
PBRX,Pan Brothers 
PDES,Destinasi Tirta Nusantara 
PEGE,Panca Global Kapital 
PGAS,Perusahaan Gas Negara 
PGLI,Pembangunan Graha Lestari Inda
PICO,Pelangi Indah Canindo 
PJAA,Pembangunan Jaya Ancol 
PKPK,Perdana Karya Perkasa 
PLAS,Polaris Investama 
PLIN,Plaza Indonesia Realty 
PNBN,Bank Pan Indonesia 
PNBS,Bank Panin Dubai Syariah 
PNIN,Paninvest 
PNLF,Panin Financial 
PNSE,Pudjiadi & Sons 
POLY,Asia Pacific Fibers 
POOL,Pool Advista Indonesia 
PPRO,PP Properti 
PRAS,Prima Alloy Steel Universal
PSAB,J Resources Asia Pasifik 
PSDN,Prasidha Aneka Niaga 
PSKT,Red Planet Indonesia 
PTBA,Bukit Asam 
PTIS,Indo Straits 
PTPP,PP (Persero) 
PTRO,Petrosea 
PTSN,Sat Nusapersada 
PTSP,Pioneerindo Gourmet Internatio
PUDP,Pudjiadi Prestige 
PWON,Pakuwon Jati 
PYFA,Pyridam Farma 
RAJA,Rukun Raharja 
RALS,Ramayana Lestari Sentosa 
RANC,Supra Boga Lestari 
RBMS,Ristia Bintang Mahkotasejati T
RDTX,Roda Vivatex 
RELI,Reliance Sekuritas Indonesia T
RICY,Ricky Putra Globalindo 
RIGS,Rig Tenders Indonesia 
RIMO,Rimo International Lestari 
RODA,Pikko Land Development 
ROTI,Nippon Indosari Corpindo 
RUIS,Radiant Utama Interinsco 
SAFE,Steady Safe 
SAME,Sarana Meditama Metropolitan T
SCCO,Supreme Cable Manufacturing & 
SCMA,Surya Citra Media 
SCPI,Organon Pharma Indonesia 
SDMU,Sidomulyo Selaras 
SDPC,Millennium Pharmacon Internati
SDRA,Bank Woori Saudara Indonesia 1
SGRO,Sampoerna Agro 
SHID,Hotel Sahid Jaya International
SIDO,Industri Jamu dan Farmasi Sido
SILO,Siloam International Hospitals
SIMA,Siwani Makmur 
SIMP,Salim Ivomas Pratama 
SIPD,Sreeya Sewu Indonesia 
SKBM,Sekar Bumi 
SKLT,Sekar Laut 
SKYB,Northcliff Citranusa Indonesia
SMAR,Smart 
SMBR,Semen Baturaja 
SMCB,Solusi Bangun Indonesia 
SMDM,Suryamas Dutamakmur 
SMDR,Samudera Indonesia  
SMGR,Semen Indonesia (Persero) 
SMMA,Sinarmas Multiartha 
SMMT,Golden Eagle Energy 
SMRA,Summarecon Agung 
SMRU,SMR Utama 
SMSM,Selamat Sempurna 
SOCI,Soechi Lines 
SONA,Sona Topas Tourism Industry
SPMA,Suparma 
SQMI,Wilton Makmur Indonesia 
SRAJ,Sejahteraraya Anugrahjaya 
SRIL,Sri Rejeki Isman 
SRSN,Indo Acidatama 
SRTG,Saratoga Investama Sedaya 
SSIA,Surya Semesta Internusa 
SSMS,Sawit Sumbermas Sarana 
SSTM,Sunson Textile Manufacture 
STAR,Buana Artha Anugerah 
STTP,Siantar Top 
SUGI,Sugih Energy 
SULI,SLJ Global 
SUPR,Solusi Tunas Pratama 
TALF,Tunas Alfin 
TARA,Agung Semesta Sejahtera 
TAXI,Express Transindo Utama 
TBIG,Tower Bersama Infrastructure T
TBLA,Tunas Baru Lampung 
TBMS,Tembaga Mulia Semanan 
TCID,Mandom Indonesia 
TELE,Omni Inovasi Indonesia 
TFCO,Tifico Fiber Indonesia 
TGKA,Tigaraksa Satria 
TIFA,KDB Tifa Finance 
TINS,Timah 
TIRA,Tira Austenite 
TIRT,Tirta Mahakam Resources 
TKIM,Pabrik Kertas Tjiwi Kimia 
TLKM,Telkom Indonesia (Persero) 
TMAS,Temas 
TMPO,Tempo Intimedia 
TOBA,TBS Energi Utama 
TOTL,Total Bangun Persada 
TOTO,Surya Toto Indonesia 
TOWR,Sarana Menara Nusantara 
TPIA,Chandra Asri Pacific 
TPMA,Trans Power Marine 
TRAM,Trada Alam Minera 
TRIL,Triwira Insanlestari 
TRIM,Trimegah Sekuritas Indonesia T
TRIO,Trikomsel Oke 
TRIS,Trisula International 
TRST,Trias Sentosa 
TRUS,Trust Finance Indonesia 
TSPC,Tempo Scan Pacific 
ULTJ,Ultrajaya Milk Industry & Trad
UNIC,Unggul Indah Cahaya 
UNIT,Nusantara Inti Corpora 
UNSP,Bakrie Sumatera Plantations
UNTR,United Tractors 
UNVR,Unilever Indonesia 
VICO,Victoria Investama 
VINS,Victoria Insurance 
VIVA,Visi Media Asia 
VOKS,Voksel Electric 
VRNA,Mizuho Leasing Indonesia 
WAPO,Wahana Pronatural 
WEHA,WEHA Transportasi Indonesia
WICO,Wicaksana Overseas Internation
WIIM,Wismilak Inti Makmur 
WIKA,Wijaya Karya (Persero) 
WINS,Wintermar Offshore Marine 
WOMF,Wahana Ottomitra Multiartha
WSKT,Waskita Karya (Persero) 
WTON,Wijaya Karya Beton 
YPAS,Yanaprima Hastapersada 
